year,state_abbr,state_name,population
1987,AZ,     Arizona,3386000
1987,CA,     California,27663000
1987,CO,     Colorado,3296000
1987,CT,     Connecticut,3211000
1987,DC,     District of Columbia,622000
1987,DE,     Delaware,644000
1987,FL,     Florida,12023000
1987,GA,     Georgia,6222000
1987,HI,     Hawaii,1083000
1987,IA,     Iowa,2834000
1987,ID,     Idaho,998000
1987,IL,     Illinois,11582000
1987,IN,     Indiana,5531000
1987,KS,     Kansas,2476000
1987,KY,     Kentucky,3727000
1987,LA,     Louisiana,4461000
1987,MA,     Massachusetts,5855000
1987,MD,     Maryland,4535000
1987,ME,     Maine,1187000
1987,MI,     Michigan,9200000
1987,MN,     Minnesota,4246000
1987,MO,     Missouri,5103000
1987,MS,     Mississippi,2625000
1987,MT,     Montana,809000
1987,NC,     North Carolina,6413000
1987,ND,     North Dakota,672000
1987,NE,     Nebraska,1594000
1987,NH,     New Hampshire,1057000
1987,NJ,     New Jersey,7672000
1987,NM,     New Mexico,1500000
1987,NV,     Nevada,1007000
1987,NY,     New York,17825000
1987,OH,     Ohio,10784000
1987,OK,     Oklahoma,3272000
1987,OR,     Oregon,2724000
1987,PA,     Pennsylvania,11936000
1987,RI,     Rhode Island,986000
1987,SC,     South Carolina,3425000
1987,SD,     South Dakota,709000
1987,TN,     Tennessee,4855000
1987,TX,     Texas,16789000
1987,UT,     Utah,1680000
1987,VA,     Virginia,5904000
1987,VT,     Vermont,548000
1987,WA,     Washington,4538000
1987,WI,     Wisconsin,4807000
1987,WV,     West Virginia,1897000
1987,WY,     Wyoming,490000
1988,AK,     Alaska,513000
1988,AL,     Alabama,4127000
1988,AR,     Arkansas,2422000
1988,AZ,     Arizona,3466000
1988,CA,     California,28168000
1988,CO,     Colorado,3290000
1988,CT,     Connecticut,3241000
1988,DC,     District of Columbia,620000
1988,DE,     Delaware,660000
1988,FL,     Florida,12377000
1988,GA,     Georgia,6401000
1988,HI,     Hawaii,1093000
1988,IA,     Iowa,2834000
1988,ID,     Idaho,999000
1988,IL,     Illinois,11544000
1988,IN,     Indiana,5575000
1988,KS,     Kansas,2487000
1988,KY,     Kentucky,3721000
1988,LA,     Louisiana,4420000
1988,MA,     Massachusetts,5871000
1988,MD,     Maryland,4644000
1988,ME,     Maine,1206000
1988,MI,     Michigan,9300000
1988,MN,     Minnesota,4306000
1988,MO,     Missouri,5139000
1988,MS,     Mississippi,2627000
1988,MT,     Montana,804000
1988,NC,     North Carolina,6526000
1988,ND,     North Dakota,663000
1988,NE,     Nebraska,1601000
1988,NH,     New Hampshire,1097000
1988,NJ,     New Jersey,7720000
1988,NM,     New Mexico,1510000
1988,NV,     Nevada,1060000
1988,NY,     New York,17898000
1988,OH,     Ohio,10872000
1988,OK,     Oklahoma,3263000
1988,OR,     Oregon,2741000
1988,PA,     Pennsylvania,12027000
1988,RI,     Rhode Island,995000
1988,SC,     South Carolina,3493000
1988,SD,     South Dakota,715000
1988,TN,     Tennessee,4919000
1988,TX,     Texas,16780000
1988,UT,     Utah,1691000
1988,VA,     Virginia,5996000
1988,VT,     Vermont,556000
1988,WA,     Washington,4619000
1988,WI,     Wisconsin,4858000
1988,WV,     West Virginia,1884000
1988,WY,     Wyoming,471000
1989,AK,     Alaska,527000
1989,AL,     Alabama,4118000
1989,AR,     Arkansas,2406000
1989,AZ,     Arizona,3556000
1989,CA,     California,29063000
1989,CO,     Colorado,3317000
1989,CT,     Connecticut,3239000
1989,DC,     District of Columbia,604000
1989,DE,     Delaware,673000
1989,FL,     Florida,12671000
1989,GA,     Georgia,6436000
1989,HI,     Hawaii,1112000
1989,IA,     Iowa,2840000
1989,ID,     Idaho,1014000
1989,IL,     Illinois,11658000
1989,IN,     Indiana,5593000
1989,KS,     Kansas,2513000
1989,KY,     Kentucky,3727000
1989,LA,     Louisiana,4382000
1989,MA,     Massachusetts,5913000
1989,MD,     Maryland,4694000
1989,ME,     Maine,1222000
1989,MI,     Michigan,9273000
1989,MN,     Minnesota,4353000
1989,MO,     Missouri,5159000
1989,MS,     Mississippi,2621000
1989,MT,     Montana,806000
1989,NC,     North Carolina,6571000
1989,ND,     North Dakota,660000
1989,NE,     Nebraska,1611000
1989,NH,     New Hampshire,1107000
1989,NJ,     New Jersey,7736000
1989,NM,     New Mexico,1528000
1989,NV,     Nevada,1111000
1989,NY,     New York,17950000
1989,OH,     Ohio,10907000
1989,OK,     Oklahoma,3224000
1989,OR,     Oregon,2820000
1989,PA,     Pennsylvania,12040000
1989,RI,     Rhode Island,998000
1989,SC,     South Carolina,3512000
1989,SD,     South Dakota,715000
1989,TN,     Tennessee,4940000
1989,TX,     Texas,16991000
1989,UT,     Utah,1707000
1989,VA,     Virginia,6098000
1989,VT,     Vermont,567000
1989,WA,     Washington,4761000
1989,WI,     Wisconsin,4867000
1989,WV,     West Virginia,1857000
1989,WY,     Wyoming,475000
1990,AK,     Alaska,550043
1990,AL,     Alabama,4040587
1990,AR,     Arkansas,2350725
1990,AZ,     Arizona,3665228
1990,CA,     California,29760021
1990,CO,     Colorado,3294394
1990,CT,     Connecticut,3287116
1990,DC,     District of Columbia,606900
1990,DE,     Delaware,666168
1990,FL,     Florida,12937926
1990,GA,     Georgia,6478216
1990,HI,     Hawaii,1108229
1990,IA,     Iowa,2776755
1990,ID,     Idaho,1006749
1990,IL,     Illinois,11430602
1990,IN,     Indiana,5544159
1990,KS,     Kansas,2477574
1990,KY,     Kentucky,3685296
1990,LA,     Louisiana,4219973
1990,MA,     Massachusetts,6016425
1990,MD,     Maryland,4781468
1990,ME,     Maine,1227928
1990,MI,     Michigan,9295297
1990,MN,     Minnesota,4375099
1990,MO,     Missouri,5117073
1990,MS,     Mississippi,2573216
1990,MT,     Montana,799065
1990,NC,     North Carolina,6628637
1990,ND,     North Dakota,638800
1990,NE,     Nebraska,1578385
1990,NH,     New Hampshire,1109252
1990,NJ,     New Jersey,7730188
1990,NM,     New Mexico,1515069
1990,NV,     Nevada,1201833
1990,NY,     New York,17990455
1990,OH,     Ohio,10847115
1990,OK,     Oklahoma,3145585
