ori,agency_name,state,population
MO04700,IRON,MO,5771
MO09421,IRON MOUNTAIN LAKE,MO,640
MO11102,IRONDALE,MO,368
MO04701,IRONTON,MO,1437
MO01602,JACKSON,MO,16050
MO04800,JACKSON,MO,24568
MO06805,JAMESTOWN,MO,332
MO04900,JASPER,MO,31595
MO04904,JASPER,MO,872
MO05000,JEFFERSON,MO,168412
MO02601,JEFFERSON CITY,MO,42559
MO09541,JENNINGS,MO,13055
MO05100,JOHNSON,MO,30333
MO07001,JONESBURG,MO,839
MO04907,JOPLIN,MO,46093
MO02301,KAHOKA,MO,1975
MOKPD00,KANSAS CITY,MO,317692
MO02405,KEARNEY,MO,11411
MO10110,KELSO,MO,552
MO03505,KENNETT,MO,10049
MO02102,KEYTESVILLE,MO,447
MO10505,KIMBERLING CITY,MO,2376
MO05005,KIMMSWICK,MO,130
MO03802,KING CITY,MO,841
MO05107,KINGSVILLE,MO,251
MO09542,KINLOCH,MO,261
MO00101,KIRKSVILLE,MO,17923
MO09543,KIRKWOOD,MO,29321
MO05102,KNOB NOSTER,MO,2977
MO05200,KNOX,MO,3741
MO05602,LA BELLE,MO,641
MO05603,LA GRANGE,MO,801
MO08002,LA MONTE,MO,1010
MO06102,LA PLATA,MO,1243
MO05300,LACLEDE,MO,21172
MO00402,LADDONIA,MO,509
MO09544,LADUE,MO,8927
MO05400,LAFAYETTE,MO,12841
MO01915,LAKE ANNETTE,MO,112
MO05416,LAKE LAFAYETTE,MO,310
MO04807,LAKE LOTAWANA,MO,2740
MO06603,LAKE OZARK,MO,2166
MO09209,LAKE ST. LOUIS,MO,19805
MO04813,LAKE TAPAWINGO,MO,779
MO01910,LAKE WINNEBAGO,MO,1869
MO09545,LAKESHIRE,MO,1510
MO00601,LAMAR,MO,4308
MO06006,LANAGAN,MO,383
MO02504,LATHROP,MO,2277
MO07107,LAURIE,MO,1096
MO05500,LAWRENCE,MO,19442
MO08903,LAWSON,MO,2361
MO09416,LEADINGTON,MO,763
MO09408,LEADWOOD,MO,1150
MO02806,LEASBURG,MO,317
MO05302,LEBANON,MO,15670
MO04808,LEE'S SUMMIT,MO,104880
MO05109,LEETON,MO,553
MO05600,LEWIS,MO,6266
MO05405,LEXINGTON,MO,4580
MO00609,LIBERAL,MO,635
MO02406,LIBERTY,MO,31506
MO10803,LICKING,MO,3038
MO07202,LILBOURN,MO,895
MO00802,LINCOLN,MO,1218
MO05700,LINCOLN,MO,42747
MO05800,LINN,MO,5271
MO07603,LINN,MO,1444
MO01506,LINN CREEK,MO,221
MO05900,LIVINGSTON,MO,5587
MO02902,LOCKWOOD,MO,845
MO04812,LONE JACK,MO,1900
MO08203,LOUISIANA,MO,3253
MO09305,LOWRY CITY,MO,661
MO06100,MACON,MO,8409
MO06103,MACON,MO,5523
MO06200,MADISON,MO,8103
MO03506,MALDEN,MO,3483
MO09547,MANCHESTER,MO,18074
MO11502,MANSFIELD,MO,1325
MO09548,MAPLEWOOD,MO,8030
MO00902,MARBLE HILL,MO,1382
MO05803,MARCELINE,MO,2127
MO06300,MARIES,MO,7942
MO06400,MARION,MO,7798
MO05502,MARIONVILLE,MO,2098
MO09550,MARLBOROUGH,MO,2185
MO06203,MARQUAND,MO,191
MO09801,MARSHALL,MO,13790
MO11301,MARSHFIELD,MO,8051
MO07210,MARSTON,MO,359
MO11001,MARTHASVILLE,MO,1313
MO00403,MARTINSBURG,MO,259
MO0950H,MARYLAND HEIGHTS,MO,27527
MO07402,MARYVILLE,MO,10089
MO07211,MATTHEWS,MO,494
MO03201,MAYSVILLE,MO,1088
MO05413,MAYVIEW,MO,219
MO06000,MCDONALD,MO,16387
MO10001,MEMPHIS,MO,1726
MO06500,MERCER,MO,3438
MO10706,MERRIAM WOODS,MO,2051
MO00404,MEXICO,MO,11493
MO10601,MILAN,MO,1732
MO11206,MILL SPRING,MO,158
MO06600,MILLER,MO,17783
MO10109,MINER,MO,889
MO03617,MIRAMIGUOA,MO,123
MO06700,MISSISSIPPI,MO,3710
MO08803,MOBERLY,MO,13279
MO01407,MOKANE,MO,187
MO09551,MOLINE ACRES,MO,2089
MO00502,MONETT,MO,6524
MO06800,MONITEAU,MO,7814
MO06900,MONROE,MO,6763
MO06902,MONROE CITY,MO,2179
MO07000,MONTGOMERY,MO,5771
MO07002,MONTGOMERY CITY,MO,2789
MO04204,MONTROSE,MO,394
MO07203,MOREHOUSE,MO,672
MO07100,MORGAN,MO,17759
MO10108,MORLEY,MO,684
MO08424,MORRISVILLE,MO,401
MO02415,MOSBY,MO,100
MO05708,MOSCOW MILLS,MO,4345
MO04404,MOUND CITY,MO,1008
MO05504,MOUNT VERNON,MO,4753
MO11503,MOUNTAIN GROVE,MO,4621
MO04601,MOUNTAIN VIEW,MO,2678
MO05409,NAPOLEON,MO,213
MO09102,NAYLOR,MO,441
MO07303,NEOSHO,MO,14060
MO10901,NEVADA,MO,8315
MO01404,NEW BLOOMFIELD,MO,759
MO07008,NEW FLORENCE,MO,636
MO04503,NEW FRANKLIN,MO,1020
MO03603,NEW HAVEN,MO,2394
MO08702,NEW LONDON,MO,987
MO07200,NEW MADRID,MO,4290
MO07204,NEW MADRID,MO,2556
MO09216,NEW MELLE,MO,547
MO08104,NEWBURG,MO,337
MO07300,NEWTON,MO,34443
MO11305,NIANGUA,MO,419
MO02202,NIXA,MO,27133
MO07400,NODAWAY,MO,10296
MO06002,NOEL,MO,2206
MO01703,NORBORNE,MO,631
MO09552,NORMANDY,MO,8669
MO02407,NORTH KANSAS CITY,MO,5949
MO08307,NORTHMOOR,MO,295
MO09553,NORTHWOODS,MO,3831
MO11504,NORWOOD,MO,623
MO09201,O'FALLON,MO,96304
MO04809,OAK GROVE,MO,9259
MO09597,OAKLAND,MO,1375
MO02410,OAKVIEW VILLAGE,MO,365
MO05406,ODESSA,MO,5709
MO05702,OLD MONROE,MO,286
MO09555,OLIVETTE,MO,9079
MO05009,OLYMPIAN VILLAGE,MO,710
MO10104,ORAN,MO,1206
MO04405,OREGON,MO,834
MO07500,OREGON,MO,6110
MO04921,ORONOGO,MO,3329
MO08909,ORRICK,MO,737
MO07600,OSAGE,MO,12090
MO01502,OSAGE BEACH,MO,4800
MO09302,OSCEOLA,MO,990
MO02703,OTTERVILLE,MO,451
MO09556,OVERLAND,MO,15456
MO03703,OWENSVILLE,MO,2774
MO02203,OZARK,MO,23732
MO07700,OZARK,MO,9241
MO03604,PACIFIC,MO,6860
MO09557,PAGEDALE,MO,2506
MO06402,PALMYRA,MO,3650
MO09422,PARK HILLS,MO,8730
MO08301,PARKVILLE,MO,9406
MO07205,PARMA,MO,500
MO09558,PASADENA HILLS,MO,879
MO09559,PASADENA PARK,MO,425
MO01906,PECULIAR,MO,6377
MO07800,PEMISCOT,MO,4854
MO07900,PERRY,MO,10583
MO08703,PERRY,MO,688
MO07901,PERRYVILLE,MO,8553
MO08000,PETTIS,MO,21544
MO05006,PEVELY,MO,6118
MO08100,PHELPS,MO,20054
MO11201,PIEDMONT,MO,1863
MO05505,PIERCE CITY,MO,1278
MO08200,PIKE,MO,10024
MO02705,PILOT GROVE,MO,697
MO04702,PILOT KNOB,MO,686
MO09561,PINE LAWN,MO,2677
MO06003,PINEVILLE,MO,856
MO08300,PLATTE,MO,34495
MO08302,PLATTE CITY,MO,4889
MO08303,PLATTE WOODS,MO,394
MO02505,PLATTSBURG,MO,2263
MO01905,PLEASANT HILL,MO,8875
MO08414,PLEASANT HOPE,MO,697
MO02409,PLEASANT VALLEY,MO,2750
MO08400,POLK,MO,19209
MO01307,POLO,MO,507
MO01202,POPLAR BLUFF,MO,16151
MO07206,PORTAGEVILLE,MO,2675
MO11103,POTOSI,MO,2548
MO02704,PRAIRIE HOME,MO,267
MO08500,PULASKI,MO,39194
MO04922,PURCELL,MO,319
MO00504,PURDY,MO,1058
MO08600,PUTNAM,MO,2851
MO10405,PUXICO,MO,867
MO09905,QUEEN CITY,MO,560
MO01203,QULIN,MO,468
MO08700,RALLS,MO,8006
MO02417,RANDOLPH,MO,57
MO08800,RANDOLPH,MO,9365
MO08900,RAY,MO,11751
MO01907,RAYMORE,MO,26759
MO04810,RAYTOWN,MO,29071
MO10503,REEDS SPRING,MO,1247
MO03902,REPUBLIC,MO,21923
MO02304,REVERE,MO,75
MO09000,REYNOLDS,MO,4936
MO00704,RICH HILL,MO,1264
MO08503,RICHLAND,MO,1544
MO08902,RICHMOND,MO,5921
MO09562,RICHMOND HEIGHTS,MO,9052
MO09100,RIPLEY,MO,8947
MO07214,RISCO,MO,258
MO08305,RIVERSIDE,MO,4630
MO09563,RIVERVIEW,MO,2319
MO09564,ROCK HILL,MO,4652
MO00302,ROCK PORT,MO,1229
MO10704,ROCKAWAY BEACH,MO,812
MO11306,ROGERSVILLE,MO,4836
MO08101,ROLLA,MO,20849
MO03704,ROSEBUD,MO,394
MO10004,RUTLEDGE,MO,83
MO03301,SALEM,MO,4748
MO09800,SALINE,MO,8081
MO02104,SALISBURY,MO,1570
MO04905,SARCOXIE,MO,1421
MO00201,SAVANNAH,MO,5082
MO09900,SCHUYLER,MO,4085
MO10000,SCOTLAND,MO,2888
MO10100,SCOTT,MO,12127
MO10105,SCOTT CITY,MO,4456
MO08003,SEDALIA,MO,22454
MO00505,SELIGMAN,MO,946
MO03507,SENATH,MO,1496
MO07304,SENECA,MO,2336
MO11302,SEYMOUR,MO,1956
MO10200,SHANNON,MO,5180
MO10304,SHELBINA,MO,1552
MO10300,SHELBY,MO,4334
MO10305,SHELBYVILLE,MO,499
MO10902,SHELDON,MO,436
MO09569,SHREWSBURY,MO,6229
MO10106,SIKESTON,MO,14102
MO05703,SILEX,MO,270
MO09802,SLATER,MO,1821
MO08006,SMITHTON,MO,504
MO02408,SMITHVILLE,MO,11095
MO06004,SOUTHWEST CITY,MO,991
MO02205,SPARTA,MO,1976
MO03903,SPRINGFIELD,MO,170956
MO09565,ST. ANN,MO,12632
MO09203,ST. CHARLES,MO,72881
MO09224,ST. CHARLES COUNTY PD,MO,120397
MO03605,ST. CLAIR,MO,4727
MO09300,ST. CLAIR,MO,7236
MO09400,ST. FRANCOIS,MO,24507
MO08102,ST. JAMES,MO,3937
MO09567,ST. JOHN,MO,6434
MO01101,ST. JOSEPH,MO,70838
MOSPD00,ST. LOUIS,MO,274819
MO09500,ST. LOUIS COUNTY POL DEP,MO,400341
MO09702,ST. MARYS,MO,306
MO09204,ST. PETERS,MO,62360
MO08504,ST. ROBERT,MO,5585
MO03803,STANBERRY,MO,1161
MO09700,STE. GENEVIEVE,MO,13534
MO09701,STE. GENEVIEVE,MO,5032
MO07805,STEELE,MO,1656
MO02803,STEELVILLE,MO,1440
MO03203,STEWARTSVILLE,MO,732
MO02002,STOCKTON,MO,1881
MO10400,STODDARD,MO,14746
MO10500,STONE,MO,26285
MO07101,STOVER,MO,1081
MO03908,STRAFFORD,MO,2863
MO01916,STRASBURG,MO,117
MO04811,SUGAR CREEK,MO,3202
MO02810,SULLIVAN,MO,5426
MO10600,SULLIVAN,MO,3964
MO10805,SUMMERSVILLE,MO,415
MO01509,SUNRISE BEACH,MO,444
MO09570,SUNSET HILLS,MO,9078
MO09803,SWEET SPRINGS,MO,1333
MO10700,TANEY,MO,33685
MO00303,TARKIO,MO,1459
MO09410,TERRE DU LAC,MO,2427
MO10800,TEXAS,MO,18151
MO07502,THAYER,MO,1910
MO07702,THEODOSIA,MO,209
MO06802,TIPTON,MO,2643
MO09572,TOWN AND COUNTRY,MO,11622
MO08314,TRACY,MO,331
MO04001,TRENTON,MO,5590
MO02507,TRIMBLE,MO,676
MO05704,TROY,MO,15557
MO11002,TRUESDALE,MO,945
MO03607,UNION,MO,13407
MO08601,UNIONVILLE,MO,1653
MO09573,UNIVERSITY CITY,MO,34147
MO09591,UPLANDS PARK,MO,303
MO04208,URICH,MO,478
MO09574,VALLEY PARK,MO,6717
MO01801,VAN BUREN,MO,781
MO00405,VANDALIA,MO,2835
MO09575,VELDA CITY,MO,1302
MO09576,VELDA VILLAGE HILLS,MO,849
MO10900,VERNON,MO,11504
MO05510,VERONA,MO,514
MO07102,VERSAILLES,MO,2733
MO04705,VIBURNUM,MO,656
MO06304,VIENNA,MO,580
MO09577,VINITA PARK,MO,8783
MO03904,WALNUT GROVE,MO,641
MO07806,WARDELL,MO,276
MO11000,WARREN,MO,22235
MO05103,WARRENSBURG,MO,20163
MO11003,WARRENTON,MO,9649
MO00803,WARSAW,MO,2369
MO09579,WARSON WOODS,MO,1987
MO00507,WASHBURN,MO,418
MO03608,WASHINGTON,MO,15734
MO11100,WASHINGTON,MO,21077
MO05407,WAVERLY,MO,822
MO11200,WAYNE,MO,8931
MO08505,WAYNESVILLE,MO,5509
MO08315,WEATHERBY LAKE,MO,2137
MO04906,WEBB CITY,MO,13474
MO11300,WEBSTER,MO,26765
MO09580,WEBSTER GROVES,MO,23409
MO05408,WELLINGTON,MO,765
MO09581,WELLSTON,MO,1604
MO07003,WELLSVILLE,MO,1011
MO09205,WENTZVILLE,MO,49528
MO04602,WEST PLAINS,MO,12834
MO02812,WEST SULLIVAN,MO,280
MO08304,WESTON,MO,1857
MO09590,WESTWOOD,MO,311
MO00508,WHEATON,MO,686
MO03909,WILLARD,MO,6699
MO04603,WILLOW SPRINGS,MO,2228
MO09583,WINCHESTER,MO,1399
MO04203,WINDSOR,MO,2764
MO05705,WINFIELD,MO,1665
MO10202,WINONA,MO,996
MO08911,WOOD HEIGHTS,MO,746
MO09584,WOODSON TERRACE,MO,3873
MO11400,WORTH,MO,1849
MO11500,WRIGHT,MO,13266
MO11004,WRIGHT CITY,MO,5966
MO06706,WYATT,MO,205
MS04801,ABERDEEN,MS,4802
MS01001,ACKERMAN,MS,1541
MS00100,ADAMS,MS,14445
MS00200,ALCORN,MS,20144
MS00300,AMITE,MS,11599
MS04802,AMORY,MS,6353
MS00400,ATTALA,MS,10460
MS05902,BALDWYN,MS,1840
MS05401,BATESVILLE,MS,7319
MS03101,BAY SPRINGS,MS,1448
MS02302,BAY ST. LOUIS,MS,10822
MS02701,BELZONI,MS,1706
MS00500,BENTON,MS,7577
MS02401,BILOXI,MS,47829
MS07304,BLUE SPRINGS,MS,440
MS00600,BOLIVAR,MS,11674
MS02518,BOLTON,MS,415
MS05901,BOONEVILLE,MS,9416
MS00609,BOYLE,MS,484
MS06101,BRANDON,MS,26058
MS04301,BROOKHAVEN,MS,11654
MS00701,BRUCE,MS,1602
MS04703,BYHALIA,MS,1378
MS02532,BYRAM,MS,12563
MS04404,CALEDONIA,MS,1112
MS00700,CALHOUN,MS,7667
MS00702,CALHOUN CITY,MS,1463
MS04501,CANTON,MS,10744
MS00800,CARROLL,MS,8405
MS04001,CARTHAGE,MS,4846
MS06801,CHARLESTON,MS,1655
MS00900,CHICKASAW,MS,10704
MS01000,CHOCTAW,MS,6498
MS01100,CLAIBORNE,MS,6794
MS01200,CLARKE,MS,12375
MS01401,CLARKSDALE,MS,13641
MS01300,CLAY,MS,8522
MS00601,CLEVELAND,MS,9956
MS02503,CLINTON,MS,26290
MS01400,COAHOMA,MS,6288
MS08102,COFFEEVILLE,MS,775
MS06903,COLDWATER,MS,1312
MS01601,COLLINS,MS,2218
MS04601,COLUMBIA,MS,6478
MS04401,COLUMBUS,MS,22535
MS05404,COMO,MS,1064
MS01500,COPIAH,MS,17707
MS00201,CORINTH,MS,14123
MS01600,COVINGTON,MS,14640
MS05403,CRENSHAW,MS,496
MS01501,CRYSTAL SPRINGS,MS,4627
MS02408,D'IBERVILLE,MS,13577
MS03501,DE KALB,MS,821
MS05101,DECATUR,MS,1872
MS00703,DERMA,MS,912
MS01700,DESOTO,MS,46760
MS06702,DREW,MS,1641
MS02601,DURANT,MS,1920
MS02507,EDWARDS,MS,913
MS03401,ELLISVILLE,MS,4385
MS07801,EUPORA,MS,2100
MS03201,FAYETTE,MS,1318
MS04503,FLORA,MS,1646
MS06106,FLORENCE,MS,4868
MS06104,FLOWOOD,MS,10999
MS06201,FOREST,MS,5349
MS01800,FORREST,MS,25546
MS01900,FRANKLIN,MS,7051
MS02901,FULTON,MS,4669
MS03006,GAUTIER,MS,19065
MS02000,GEORGE,MS,23208
MS00301,GLOSTER,MS,849
MS02606,GOODMAN,MS,1222
MS02100,GREENE,MS,9729
MS07601,GREENVILLE,MS,26427
MS04201,GREENWOOD,MS,13386
MS02200,GRENADA,MS,8860
MS02201,GRENADA,MS,12012
MS02402,GULFPORT,MS,75068
MS04107,GUNTOWN,MS,2611
MS02300,HANCOCK,MS,28979
MS02400,HARRISON,MS,55596
MS01801,HATTIESBURG,MS,41662
MS01502,HAZLEHURST,MS,3407
MS03102,HEIDELBERG,MS,600
MS01703,HERNANDO,MS,18873
MS02500,HINDS,MS,27550
MS07603,HOLLANDALE,MS,2077
MS04701,HOLLY SPRINGS,MS,6358
MS02600,HOLMES,MS,9593
MS01704,HORN LAKE,MS,26533
MS00901,HOUSTON,MS,3680
MS02700,HUMPHREYS,MS,5302
MS06701,INDIANOLA,MS,8527
MS06705,INVERNESS,MS,804
MS02800,ISSAQUENA,MS,1294
MS02900,ITAWAMBA,MS,19729
MS04202,ITTA BENA,MS,1480
MS07101,IUKA,MS,3058
MS02501,JACKSON,MS,138204
MS03000,JACKSON,MS,77397
MS03100,JASPER,MS,13427
MS03200,JEFFERSON,MS,5531
MS03300,JEFFERSON DAVIS,MS,11059
MS03400,JONES,MS,43395
MS03500,KEMPER,MS,8506
MS00401,KOSCIUSKO,MS,6698
MS03600,LAFAYETTE,MS,34024
MS03700,LAMAR,MS,54957
MS03800,LAUDERDALE,MS,37185
MS03402,LAUREL,MS,17431
MS03900,LAWRENCE,MS,11651
MS04000,LEAKE,MS,16772
MS02101,LEAKESVILLE,MS,3733
MS04100,LEE,MS,34064
MS04200,LEFLORE,MS,10895
MS07602,LELAND,MS,3547
MS02602,LEXINGTON,MS,1365
MS04300,LINCOLN,MS,23476
MS02403,LONG BEACH,MS,17321
MS03103,LOUIN,MS,264
MS08001,LOUISVILLE,MS,5859
MS04400,LOWNDES,MS,33449
MS02001,LUCEDALE,MS,3191
MS03702,LUMBERTON,MS,1641
MS05201,MACON,MS,2418
MS04500,MADISON,MS,50311
MS04504,MADISON,MS,28325
MS06401,MAGEE,MS,3906
MS05701,MAGNOLIA,MS,1801
MS04600,MARION,MS,17553
MS06001,MARKS,MS,1205
MS04700,MARSHALL,MS,26953
MS07803,MATHISTON,MS,814
MS05702,MCCOMB,MS,11618
MS02102,MCLAIN,MS,316
MS06402,MENDENHALL,MS,2114
MS03801,MERIDIAN,MS,33226
MS04800,MONROE,MS,21822
MS04900,MONTGOMERY,MS,5585
MS06704,MOORHEAD,MS,1724
MS06202,MORTON,MS,3625
MS03001,MOSS POINT,MS,11709
MS00602,MOUND BAYOU,MS,1363
MS01602,MOUNT OLIVE,MS,882
MS07303,MYRTLE,MS,489
MS00101,NATCHEZ,MS,14183
MS05000,NESHOBA,MS,21651
MS07301,NEW ALBANY,MS,7754
MS05602,NEW AUGUSTA,MS,538
MS05100,NEWTON,MS,14750
MS05102,NEWTON,MS,3053
MS05200,NOXUBEE,MS,7356
MS08103,OAKLAND,MS,458
MS03002,OCEAN SPRINGS,MS,19104
MS00902,OKOLONA,MS,2394
MS05300,OKTIBBEHA,MS,26398
MS01702,OLIVE BRANCH,MS,47568
MS03601,OXFORD,MS,27137
MS05400,PANOLA,MS,23941
MS03003,PASCAGOULA,MS,21355
MS02404,PASS CHRISTIAN,MS,6611
MS06102,PEARL,MS,28811
MS05500,PEARL RIVER,MS,45061
MS06103,PELAHATCHIE,MS,1309
MS05600,PERRY,MS,10910
MS01802,PETAL,MS,11659
MS05001,PHILADELPHIA,MS,6901
MS05501,PICAYUNE,MS,12053
MS02605,PICKENS,MS,796
MS05700,PIKE,MS,24024
MS05800,PONTOTOC,MS,26223
MS05801,PONTOTOC,MS,6153
MS05502,POPLARVILLE,MS,2919
MS01101,PORT GIBSON,MS,1140
MS05900,PRENTISS,MS,14487
MS06109,PUCKETT,MS,345
MS03701,PURVIS,MS,1969
MS01201,QUITMAN,MS,1923
MS06000,QUITMAN,MS,4105
MS06502,RALEIGH,MS,1069
MS06100,RANKIN,MS,82089
MS02502,RAYMOND,MS,1281
MS06105,RICHLAND,MS,7726
MS04502,RIDGELAND,MS,24565
MS07001,RIPLEY,MS,5339
MS06301,ROLLING FORK,MS,1391
MS00605,ROSEDALE,MS,1402
MS01904,ROXIE,MS,465
MS06703,RULEVILLE,MS,2197
MS04108,SALTILLO,MS,4972
MS03403,SANDERSVILLE,MS,610
MS06200,SCOTT,MS,18747
MS01603,SEMINARY,MS,290
MS06901,SENATOBIA,MS,8446
MS06300,SHARKEY,MS,1736
MS00604,SHAW,MS,1318
MS00603,SHELBY,MS,1750
MS06400,SIMPSON,MS,19626
MS06500,SMITH,MS,13011
MS04804,SMITHVILLE,MS,505
MS01701,SOUTHAVEN,MS,58174
MS05301,STARKVILLE,MS,25881
MS06600,STONE,MS,15616
MS01203,STONEWALL,MS,833
MS05703,SUMMIT,MS,1425
MS06803,SUMNER,MS,243
MS03703,SUMRALL,MS,2285
MS06700,SUNFLOWER,MS,6749
MS06706,SUNFLOWER,MS,868
MS06800,TALLAHATCHIE,MS,8312
MS06900,TATE,MS,19039
MS02603,TCHULA,MS,1646
MS02506,TERRY,MS,1617
MS07000,TIPPAH,MS,15425
MS07100,TISHOMINGO,MS,15509
MS07200,TUNICA,MS,8230
MS07201,TUNICA,MS,831
MS04101,TUPELO,MS,37739
MS07401,TYLERTOWN,MS,1470
MS05103,UNION,MS,1442
MS07300,UNION,MS,19955
MS02504,UTICA,MS,596
MS00801,VAIDEN,MS,882
MS00704,VARDAMAN,MS,1058
MS04105,VERONA,MS,2700
MS07501,VICKSBURG,MS,19690
MS01706,WALLS,MS,1428
MS07003,WALNUT,MS,683
MS07400,WALTHALL,MS,12427
MS07500,WARREN,MS,22025
MS07600,WASHINGTON,MS,8500
MS08101,WATER VALLEY,MS,3421
MS02303,WAVELAND,MS,7005
MS07700,WAYNE,MS,15337
MS07701,WAYNESBORO,MS,4492
MS06804,WEBB,MS,369
MS07800,WEBSTER,MS,7207
MS01503,WESSON,MS,1745
MS01301,WEST POINT,MS,9677
MS06601,WIGGINS,MS,4372
MS07900,WILKINSON,MS,7690
MS04901,WINONA,MS,3778
MS08000,WINSTON,MS,11576
MS08100,YALOBUSHA,MS,7870
MS08200,YAZOO,MS,12549
MS08201,YAZOO CITY,MS,9758
MT01200,ANACONDA-DEER LODGE,MT,9862
MT01301,BAKER,MT,1761
MT00100,BEAVERHEAD,MT,5783
MT01602,BELGRADE,MT,13314
MT00702,BELT,MT,518
MT00200,BIG HORN,MT,8964
MT05601,BILLINGS,MT,122571
MT00300,BLAINE,MT,5686
MT02201,BOULDER,MT,1331
MT01601,BOZEMAN,MT,58949
MT00502,BRIDGER,MT,730
MT00400,BROADWATER,MT,8665
MT04700,BUTTE-SILVER BOW,MT,36189
MT00500,CARBON,MT,8170
MT00600,CARTER,MT,1390
MT00700,CASCADE,MT,24229
MT00301,CHINOOK,MT,1158
MT05001,CHOTEAU,MT,1820
MT00800,CHOUTEAU,MT,5842
MT04403,COLSTRIP,MT,2056
MT01501,COLUMBIA FALLS,MT,5796
MT04801,COLUMBUS,MT,1992
MT03701,CONRAD,MT,2415
MT04303,CULBERTSON,MT,696
MT00900,CUSTER,MT,3509
MT01802,CUT BANK,MT,2972
MT01000,DANIELS,MT,1610
MT04103,DARBY,MT,894
MT01100,DAWSON,MT,3907
MT03901,DEER LODGE,MT,3002
MT00101,DILLON,MT,4337
MT02502,EAST HELENA,MT,2319
MT00601,EKALAKA,MT,406
MT02901,ENNIS,MT,1124
MT02702,EUREKA,MT,1607
MT04202,FAIRVIEW,MT,844
MT01300,FALLON,MT,1151
MT01400,FERGUS,MT,5639
MT01500,FLATHEAD,MT,68046
MT00801,FORT BENTON,MT,1414
MT05302,FORT PECK,MT,233
MT00503,FROMBERG,MT,431
MT01600,GALLATIN,MT,52755
MT01700,GARFIELD,MT,1178
MT01800,GLACIER,MT,10404
MT05301,GLASGOW,MT,3162
MT01101,GLENDIVE,MT,4734
MT01900,GOLDEN VALLEY,MT,870
MT02000,GRANITE,MT,3662
MT00701,GREAT FALLS,MT,59904
MT04101,HAMILTON,MT,5562
MT00204,HARDIN,MT,3698
MT00302,HARLEM,MT,754
MT02101,HAVRE,MT,9174
MT02501,HELENA,MT,35377
MT02100,HILL,MT,6766
MT04502,HOT SPRINGS,MT,639
MT02200,JEFFERSON,MT,13545
MT00504,JOLIET,MT,630
MT02300,JUDITH BASIN,MT,2123
MT01503,KALISPELL,MT,33020
MT02400,LAKE,MT,24963
MT05602,LAUREL,MT,7258
MT02500,LEWIS AND CLARK,MT,38078
MT01401,LEWISTOWN,MT,6264
MT02701,LIBBY,MT,3355
MT02600,LIBERTY,MT,1918
MT02700,LINCOLN,MT,16825
MT03401,LIVINGSTON,MT,9161
MT02900,MADISON,MT,9997
MT03601,MALTA,MT,1854
MT01605,MANHATTAN,MT,2063
MT02800,MCCONE,MT,1706
MT03000,MEAGHER,MT,2092
MT00901,MILES CITY,MT,8422
MT03100,MINERAL,MT,5339
MT03200,MISSOULA,MT,43822
MT03201,MISSOULA,MT,79184
MT03300,MUSSELSHELL,MT,5616
MT03400,PARK,MT,9040
MT03500,PETROLEUM,MT,528
MT03600,PHILLIPS,MT,4194
MT04104,PINESDALE,MT,894
MT04504,PLAINS,MT,1279
MT04601,PLENTYWOOD,MT,1616
MT02401,POLSON,MT,5756
MT03700,PONDERA,MT,3685
MT04301,POPLAR,MT,712
MT03800,POWDER RIVER,MT,1735
MT03900,POWELL,MT,4129
MT04000,PRAIRIE,MT,1112
MT04100,RAVALLI,MT,40187
MT00501,RED LODGE,MT,2801
MT04200,RICHLAND,MT,4056
MT02402,RONAN,MT,2238
MT04300,ROOSEVELT,MT,7516
MT04400,ROSEBUD,MT,6071
MT03301,ROUNDUP,MT,2091
MT04500,SANDERS,MT,10721
MT01001,SCOBEY,MT,975
MT05101,SHELBY,MT,3302
MT04600,SHERIDAN,MT,3410
MT04201,SIDNEY,MT,5951
MT02403,ST. IGNATIUS,MT,841
MT04102,STEVENSVILLE,MT,2295
MT04800,STILLWATER,MT,7527
MT04900,SWEET GRASS,MT,3760
MT05000,TETON,MT,6461
MT04503,THOMPSON FALLS,MT,1569
MT01603,THREE FORKS,MT,1936
MT05100,TOOLE,MT,5175
MT05200,TREASURE,MT,731
MT02703,TROY,MT,942
MT03702,VALIER,MT,542
MT05300,VALLEY,MT,4204
MT01604,WEST YELLOWSTONE,MT,1184
MT05400,WHEATLAND,MT,2045
MT01502,WHITEFISH,MT,9640
MT02202,WHITEHALL,MT,1145
MT05500,WIBAUX,MT,901
MT05501,WIBAUX,MT,449
MT04302,WOLF POINT,MT,2486
MT05600,YELLOWSTONE,MT,42529
NC06301,ABERDEEN,NC,9827
NC04601,AHOSKIE,NC,4614
NC00100,ALAMANCE,NC,71631
NC08401,ALBEMARLE,NC,17589
NC00200,ALEXANDER,NC,34459
NC00300,ALLEGHANY,NC,9590
NC02001,ANDREWS,NC,1786
NC04302,ANGIER,NC,7559
NC00400,ANSON,NC,14026
NC00405,ANSONVILLE,NC,441
NC09202,APEX,NC,78906
NC07606,ARCHDALE,NC,11812
NC00500,ASHE,NC,24425
NC07601,ASHEBORO,NC,28102
NC01101,ASHEVILLE,NC,95155
NC01603,ATLANTIC BEACH,NC,1432
NC00801,AULANDER,NC,709
NC00702,AURORA,NC,450
NC00600,AVERY,NC,14819
NC07401,AYDEN,NC,5222
NC08407,BADIN,NC,1838
NC06403,BAILEY,NC,594
NC06102,BAKERSVILLE,NC,454
